step,V,C,K_est,acc_train,acc_test,penalty
22800,0.0005641362513415515,4124.9533150815405,2.3270357001290063,1.0,0.9998881306633851,0.9999831318855286
22900,0.0005212445394136012,4064.4365461482666,2.118565355472861,1.0,0.9998881306633851,0.999984622001648
23000,0.0004945920663885772,4004.332357830368,1.9805110153659653,1.0,0.9998881306633851,0.9999856352806091
23100,0.0004826574877370149,3950.6414910280146,1.9068066970091961,1.0,0.9998881306633851,0.9999861717224121
23200,0.0004950725706294179,3901.556475877762,1.9315535939686561,1.0,1.0,0.9999859929084778
23300,2.689781427383423,6660.586860449053,17915.522832709925,0.277023498694517,0.16925830629824365,0.8701022267341614
23400,1.1214810609817505,7610.809804350603,8535.379054313424,0.5104438642297651,0.37297236827385616,0.9381136298179626
23500,0.131022110581398,7950.655798044987,1041.7117031660835,0.9986945169712794,0.9525674012753105,0.992447018623352
23600,0.0020079866517335176,7961.3678335454315,15.98632033929982,1.0,0.997986351940933,0.9998840689659119
23700,0.0007276340620592237,7809.574958559126,5.6825127500523696,1.0,0.9984338292873923,0.9999588131904602
23800,0.0004557076608762145,7657.72328641545,3.489683166489703,1.0,0.9985456986240071,0.9999746680259705
23900,0.00033755015465430915,7508.136646439321,2.534372686171279,1.0,0.9985456986240071,0.9999816417694092
24000,0.00026866444386541843,7361.190124338493,1.9776900509430115,1.0,0.9985456986240071,0.9999856352806091
24100,0.0002266908995807171,7216.990079409443,1.6360259733664375,1.0,0.9985456986240071,0.9999881386756897
24200,0.00020444999972824007,7075.612238712609,1.446608920281925,1.0,0.9985456986240071,0.9999895095825195
24300,0.00019066588720306754,6937.079908844549,1.3226644954184208,1.0,0.9985456986240071,0.9999904036521912
24400,0.00018076077685691416,6801.359145085793,1.2294189627485854,1.0,0.9985456986240071,0.9999910593032837
24500,0.00017297054000664502,6668.401795231737,1.1534370595025147,1.0,0.9985456986240071,0.9999916553497314
24600,0.0001664794544922188,6538.155626332387,1.088468582057047,1.0,0.9984338292873923,0.9999921321868896
24700,0.00016089159180410206,6410.567493729759,1.031406408433814,1.0,0.9984338292873923,0.9999925494194031
24800,0.0001559462834848091,6285.584026772529,0.9802134685066567,1.0,0.9984338292873923,0.9999929070472717
24900,0.00015157819143496454,6163.152880352922,0.9341995671410883,1.0,0.9983219599507774,0.9999932050704956
25000,0.00014768546679988503,6043.223743412644,0.8924963195220449,1.0,0.9983219599507774,0.9999935030937195
25100,0.00014437454228755087,5925.748739157338,0.8555272619268722,1.0,0.9984338292873923,0.9999938011169434
25200,0.3938053548336029,6702.021215408575,2639.291842836308,0.9697127937336815,0.9133012641235038,0.980863630771637
25300,0.06510338932275772,6766.793216447812,440.54117323699785,0.9994778067885117,0.9813178207853227,0.9968058466911316
25400,0.03435129672288895,6703.368439375423,230.26939830383415,1.0,0.9871350262892941,0.9983304142951965
25500,0.022188542410731316,6627.305152166169,147.0502414376972,1.0,0.9901554983778946,0.9989337921142578
25600,0.015893109142780304,6542.947510369588,103.98777889778653,1.0,0.9925047544468061,0.9992460012435913
25700,0.012225646525621414,6452.697678009048,78.88840094803669,1.0,0.9938471864861841,0.9994280338287354
25800,0.009904216974973679,6358.295603915118,62.97393925219662,1.0,0.9942946638326434,0.9995434284210205
25900,0.008326170034706593,6262.578271589242,52.14329154491095,1.0,0.9945184025058731,0.9996219277381897
26000,0.007177472114562988,6167.023281453643,44.26363763249426,1.0,0.9948540105157176,0.9996790885925293
26100,0.006344272755086422,6072.241590155289,38.523956882724846,1.0,0.9951896185255621,0.9997206926345825
26200,0.19436883926391602,6740.894293174148,1310.2197993650148,0.9793733681462141,0.9508893612260879,0.9905001521110535
26300,0.03211198002099991,6653.783128903713,213.6661508994223,1.0,0.9900436290412797,0.9984508156776428
26400,0.02077854797244072,6532.789185114205,135.74187347673742,1.0,0.9911623224074281,0.9990158081054688
26500,0.01607859879732132,6415.572501606308,103.15341630845491,1.0,0.9923928851101913,0.9992520809173584
26600,0.01345446053892374,6300.854660767596,84.77460039479135,1.0,0.9927284931200357,0.9993853569030762
26700,0.011751512996852398,6188.464118436445,72.7238165183606,1.0,0.9929522317932654,0.9994727373123169
26800,0.010536636225879192,6078.34059353685,64.0452636910924,1.0,0.9930641011298803,0.9995356202125549
26900,0.00960962288081646,5970.540461626835,57.374642230889705,1.0,0.99328783980311,0.9995840191841125
27000,0.008863155730068684,5867.149412686937,52.00145893622533,1.0,0.9935115784763396,0.9996229410171509
