step,V_train,C,K_est,acc_train,acc_test,sigma_mean,crisis
8500,9.974546628654934e-07,17843.33984375,0.017797922528242083,1.0,0.00017711654072627425,0.0,0.0
8600,9.399884106642276e-07,17851.380859375,0.01678009112216572,1.0,0.00017711654072627425,0.0,0.0
8700,8.893015888133959e-07,17859.42578125,0.01588241572256055,1.0,0.00017711654072627425,0.0,0.0
8800,8.400086244364502e-07,17867.48046875,0.015008837690699828,1.0,0.00017711654072627425,0.0,0.0
8900,7.920778557490848e-07,17875.521484375,0.014158804727740448,1.0,0.00017711654072627425,0.0,0.0
9000,7.477584631487844e-07,17883.53515625,0.013372564764104755,1.0,0.00017711654072627425,0.0,0.0
9100,7.046429004731181e-07,17891.521484375,0.012607133592627107,1.0,0.00017711654072627425,0.0,0.0
9200,6.637766887251928e-07,17899.3984375,0.01188120342501664,1.0,0.00017711654072627425,0.0,0.0
9300,6.248111503737164e-07,17907.173828125,0.011188601879492888,1.0,0.00017711654072627425,0.0,0.0
9400,5.908192406423041e-07,17914.830078125,0.010584426302993721,1.0,0.00017711654072627425,0.0,0.0
9500,5.579677804234962e-07,17922.376953125,0.010000108888448378,1.0,0.00017711654072627425,0.0,0.0
9600,5.282525989969145e-07,17929.814453125,0.009471471084395722,1.0,0.00017711654072627425,0.0,0.0
9700,4.968584335074411e-07,17937.0859375,0.0089121924205946,1.0,0.00017711654072627425,0.0,0.0
9800,4.696458972830442e-07,17944.162109375,0.008427402114849825,1.0,0.00017711654072627425,0.0,0.0
9900,4.4423907752388914e-07,17951.064453125,0.007974564313228127,1.0,0.00017711654072627425,0.0,0.0
10000,4.2006774947367376e-07,17957.798828125,0.007543492139231445,1.0,0.00017711654072627425,0.0,0.0
10100,3.981773488703766e-07,17964.34765625,0.007152996323951388,1.0,0.00017711654072627425,0.0,0.0
10200,3.766670886307111e-07,17970.740234375,0.006768986404620814,1.0,0.00017711654072627425,0.0,0.0
10300,3.567724604636169e-07,17976.951171875,0.006413681101224145,1.0,0.00017711654072627425,0.0,0.0
10400,3.382400564078125e-07,17983.01171875,0.0060825748981323535,1.0,0.00017711654072627425,0.0,0.0
10500,3.193275119883765e-07,17988.98046875,0.005744376376293436,1.0,0.00017711654072627425,0.0,0.0
10600,3.0332947176248126e-07,17994.86328125,0.005458372373539633,1.0,0.00017711654072627425,0.0,0.0
10700,2.890737960115075e-07,18000.6875,0.005203527066441893,1.0,0.00017711654072627425,0.0,0.0
10800,2.744062612691778e-07,18006.51953125,0.00494110170304074,1.0,0.00017711654072627425,0.0,0.0
10900,2.6021390908681497e-07,18012.33984375,0.004687061362542377,1.0,0.00017711654072627425,0.0,0.0
11000,2.459265431298263e-07,18018.119140625,0.004431133753955263,1.0,0.00017711654072627425,0.0,0.0
11100,2.3366665402591025e-07,18023.83984375,0.0042115703489879475,1.0,0.00017711654072627425,0.0,0.0
11200,2.2137507471597928e-07,18029.525390625,0.003991287530443255,1.0,0.00017711654072627425,0.0,0.0
11300,2.1019228313434724e-07,18035.16015625,0.003790851489935798,1.0,0.00017711654072627425,0.0,0.0
